Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Normalized_Release_Date
The Prince & Me,28165882,29356757,30000000,2-Apr-04,PG,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Martha Coolidge,0,5.6,9547,02-04-2004
The Prince of Egypt,101413188,218600000,60000000,18-Dec-98,PG,Dreamworks SKG,Based on Book/Short Story,Adventure,Dramatization,Steve Hickner,79,6.8,24569,18-12-1998
The Prince of Tides,74787599,74787599,30000000,25-Dec-91,,Sony/Columbia,Based on Book/Short Story,Drama,Contemporary Fiction,Barbra Streisand,74,6.4,6829,25-12-1991
The Princess Bride,30857000,30857000,15000000,25-Sep-87,,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Rob Reiner,95,8.1,123571,25-09-1987
The Princess Diaries,108244774,165334774,30000000,3-Aug-01,G,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Garry Marshall,46,5.9,23486,03-08-2001
The Princess Diaries 2: Royal Engagement,95149435,122071435,45000000,11-Aug-04,G,Walt Disney Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Garry Marshall,0,5.3,12439,11-08-2004
The Princess and the Cobbler,669276,669276,24000000,25-Aug-95,G,Miramax,Original Screenplay,Adventure,Fantasy,,0,7.3,893,25-08-1995
The Princess and the Frog,104374107,263467382,105000000,25-Nov-09,G,Walt Disney Pictures,Based on Book/Short Story,Adventure,Kids Fiction,John Musker,84,7.4,16232,25-11-2009
The Prisoner of Zenda,7000000,7000000,12500000,25-May-79,,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,,0,4.6,406,25-05-1979
The Producers: The Movie Musical,19398532,32952995,45000000,16-Dec-05,PG-13,Universal,Remake,Musical,Historical Fiction,,0,0.0,0,16-12-2005
The Proposal,163958031,317358031,40000000,19-Jun-09,PG-13,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Anne Fletcher,43,5.4,397,19-06-2009
The Puffy Chair,194523,194523,15000,2-Jun-06,R,IDP/Goldwyn/Roadside,,,,,0,6.4,1701,02-06-2006
The Punisher,33664370,54664370,33000000,16-Apr-04,R,Lionsgate,Based on Comic/Graphic Novel,Action,Super Hero,,30,6.4,50482,16-04-2004
The Pursuit of D.B. Cooper,2104164,2104164,12000000,13-Nov-81,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Roger Spottiswoode,0,5.8,442,13-11-1981
The Pursuit of Happyness,162586036,306086036,55000000,15-Dec-06,PG-13,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Gabriele Muccino,66,7.8,77939,15-12-2006
The Queen,56441711,122840603,15000000,30-Sep-06,PG-13,Miramax,Based on Real Life Events,Drama,Dramatization,Stephen Frears,97,7.6,34785,30-09-2006
The Quick and the Dead,18552460,18552460,32000000,10-Feb-95,R,Sony Pictures,Original Screenplay,Western,Historical Fiction,Sam Raimi,56,6.3,27352,10-02-1995
The Quiet,381420,381420,900000,25-Aug-06,R,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,0,6.5,7689,25-08-2006
The Quiet American,12987647,12987647,20000000,22-Nov-02,R,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Phillip Noyce,87,7.2,14285,22-11-2002
The R.M.,1111615,1111615,500000,31-Jan-03,PG,Halestone,Original Screenplay,Comedy,Contemporary Fiction,,64,5.5,449,31-01-2003
The Rage: Carrie 2,17760244,17760244,21000000,12-Mar-99,R,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,,16,4.3,7235,12-03-1999
The Rainmaker,45916769,45916769,40000000,21-Nov-97,PG-13,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Francis Ford Coppola,84,6.9,20514,21-11-1997
The Reader,34192652,106107610,33000000,10-Dec-08,R,Weinstein Co.,Based on Book/Short Story,Drama,Contemporary Fiction,Stephen Daldry,61,7.7,46984,10-12-2008
The Real Cancun,3816594,3816594,4000000,25-Apr-03,R,New Line,Based on TV,Documentary,Factual,,35,2.3,3211,25-04-2003
The Reaping,25126214,62226214,40000000,5-Apr-07,R,Warner Bros.,Original Screenplay,Horror,Fantasy,Stephen Hopkins,8,5.6,19881,05-04-2007
The Relic,33956608,33956608,60000000,10-Jan-97,R,Paramount Pictures,Based on Book/Short Story,Horror,Science Fiction,Peter Hyams,32,5.4,10249,10-01-1997
The Remains of the Day,22954968,63954968,15000000,5-Nov-93,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,James Ivory,97,7.9,21736,05-11-1993
The Replacement Killers,19035741,19035741,30000000,6-Feb-98,R,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,39,5.9,13905,06-02-1998
The Replacements,44737059,50054511,50000000,11-Aug-00,PG-13,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,39,6.2,21542,11-08-2000
The Return,501752,2658490,15000000,6-Feb-04,PG-13,Kino International,,Drama,,,0,2.3,236,06-02-2004
The Return of the Living Dead,14237880,14237880,4000000,16-Aug-85,,Orion Pictures,,Horror,Science Fiction,,88,7.1,13621,16-08-1985
The Right Stuff,21500000,21500000,27000000,21-Oct-83,,Warner Bros.,Based on Book/Short Story,Action,Dramatization,Philip Kaufman,97,7.9,24275,21-10-1983
The Ring,129094024,249094024,48000000,18-Oct-02,PG-13,Dreamworks SKG,Remake,Horror,Contemporary Fiction,Gore Verbinski,71,5.5,589,18-10-2002
The Ring Two,75941727,161941727,50000000,18-Mar-05,PG-13,Dreamworks SKG,Remake,Horror,Contemporary Fiction,,20,5.1,28408,18-03-2005
The Rise and Fall of Miss Thang,401,401,10000,14-Aug-08,Not Rated,Lavender House Films,Original Screenplay,Drama,Contemporary Fiction,,0,0.0,0,14-08-2008
The River Wild,46815000,94215000,45000000,30-Sep-94,PG-13,Universal,Original Screenplay,Action,Contemporary Fiction,Curtis Hanson,56,6.2,14285,30-09-1994
The Road,8114270,23914270,25000000,25-Nov-09,R,Weinstein Co.,Based on Book/Short Story,Drama,Science Fiction,,75,7.5,39124,25-11-2009
The Road to El Dorado,50802661,65700000,95000000,31-Mar-00,PG,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,David Silverman,49,6.4,8876,31-03-2000
The Road to Perdition,104054514,181054514,80000000,12-Jul-02,R,Dreamworks SKG,Based on Comic/Graphic Novel,Drama,Historical Fiction,Sam Mendes,0,0.0,0,12-07-2002
The Robe,36000000,36000000,5000000,16-Sep-53,,,,,,,38,6.7,2913,16-09-1953
The Rock,134069511,336069511,75000000,7-Jun-96,R,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66,7.2,108324,07-06-1996
The Rocker,6409528,8767338,15000000,20-Aug-08,PG-13,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,40,6.3,11859,20-08-2008
The Rocky Horror Picture Show,139876417,139876417,1200000,26-Sep-75,,20th Century Fox,,Musical,,,77,7.1,41265,26-09-1975
The Rookie,75600072,80693537,22000000,29-Mar-02,G,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,82,5.5,8453,29-03-2002
The Royal Tenenbaums,52353636,71430876,28000000,14-Dec-01,R,Walt Disney Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Wes Anderson,79,7.6,82349,14-12-2001
The Rugrats Movie,100494685,140894685,28000000,20-Nov-98,G,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,57,5.4,4857,20-11-1998
The Ruins,17432844,22177122,25000000,4-Apr-08,R,Paramount Pictures,Based on Book/Short Story,Horror,Contemporary Fiction,,47,6.0,23752,04-04-2008
The Rules of Attraction,6525762,11799060,4000000,11-Oct-02,R,Lionsgate,Based on Book/Short Story,Black Comedy,Contemporary Fiction,,44,6.7,26634,11-10-2002
The Rundown,47641743,80831893,85000000,26-Sep-03,PG-13,Universal,Original Screenplay,Action,Contemporary Fiction,Peter Berg,0,6.6,30855,26-09-2003
The Running Man,38122000,38122000,30000000,13-Nov-87,,Sony/TriStar,Based on Book/Short Story,Action,Science Fiction,Paul Michael Glaser,63,6.4,36308,13-11-1987
The Saint,61363304,169400000,90000000,4-Apr-97,PG-13,Paramount Pictures,Based on TV,Action,Contemporary Fiction,Phillip Noyce,30,5.9,27413,04-04-1997
The Salon,139084,139084,1500000,11-May-07,PG-13,Freestyle Releasing,Based on Play,Comedy,Contemporary Fiction,,12,3.5,308,11-05-2007
The Salton Sea,676698,676698,18000000,26-Apr-02,R,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,63,7.1,16415,26-04-2002
The Santa Clause,144833357,189800000,22000000,11-Nov-94,PG,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Pasquin,79,6.1,17773,11-11-1994
The Santa Clause 2,139225854,172825854,65000000,1-Nov-02,G,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Michael Lembeck,0,5.5,9061,01-11-2002
The Scarlet Letter,10359006,10359006,50000000,13-Oct-95,R,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Roland Joffe,15,4.6,6155,13-10-1995
The School of Rock,81261177,131161177,20000000,3-Oct-03,PG-13,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Richard Linklater,0,7.2,63188,03-10-2003
The Score,71069884,113542091,68000000,13-Jul-01,R,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Frank Oz,74,6.8,42616,13-07-2001
The Scorpion King,90580000,164529000,60000000,19-Apr-02,PG-13,Universal,Spin-Off,Action,Fantasy,Chuck Russell,40,5.3,30359,19-04-2002
The Secret Life of Bees,37766350,39612166,11000000,17-Oct-08,PG-13,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,,57,7.0,7077,17-10-2008
The Secret in Their Eyes,6374789,6374789,3500000,16-Apr-10,R,Sony Pictures Classics,,Drama,,,0,0.0,0,16-04-2010
The Sentinel,36280697,77280697,60000000,21-Apr-06,PG-13,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,33,6.1,23567,21-04-2006
The Shadow,31835600,31835600,40000000,1-Jul-94,PG-13,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Russell Mulcahy,34,5.6,9530,01-07-1994
The Shaggy Dog,61123569,87123569,60000000,10-Mar-06,PG,Walt Disney Pictures,Remake,Comedy,Fantasy,Brian Robbins,27,4.1,6116,10-03-2006
The Shawshank Redemption,28241469,28241469,25000000,23-Sep-94,R,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,88,9.2,519541,23-09-1994
The Shining,44017374,44017374,19000000,23-May-80,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Stanley Kubrick,87,8.5,177762,23-05-1980
The Shipping News,11405825,24405825,35000000,25-Dec-01,R,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Lasse Hallstrom,55,6.7,17338,25-12-2001
The Sidewalks of New York,2402459,3100834,1000000,21-Nov-01,R,Paramount Vantage,Original Screenplay,Comedy,Contemporary Fiction,Edward Burns,0,0.0,0,21-11-2001
The Siege,40934175,116625798,70000000,6-Nov-98,R,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Edward Zwick,44,0.0,0,06-11-1998
The Silence of the Lambs,130726716,275726716,20000000,14-Feb-91,,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jonathan Demme,96,8.7,244856,14-02-1991
The Simpsons Movie,183135014,527071022,72500000,27-Jul-07,PG-13,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89,7.6,117656,27-07-2007
The Singing Detective,336456,524747,8000000,24-Oct-03,R,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,38,5.6,4441,24-10-2003
The Singles Ward,1250798,1250798,500000,1-Feb-02,PG,Halestorm Entertainment,Original Screenplay,Comedy,Contemporary Fiction,,50,5.7,736,01-02-2002
The Sisterhood of the Traveling Pants 2,44089964,44154645,27000000,6-Aug-08,PG-13,Warner Bros.,Based on Book/Short Story,Adventure,Contemporary Fiction,,64,6.2,6557,06-08-2008
The Sixth Sense,293506292,672806292,40000000,6-Aug-99,PG-13,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,85,8.2,238745,06-08-1999
The Skeleton Key,47907715,92907715,40000000,12-Aug-05,PG-13,Universal,Original Screenplay,Horror,Contemporary Fiction,Iain Softley,38,6.5,29810,12-08-2005
The Skulls,35007180,35007180,15000000,31-Mar-00,PG-13,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Rob Cohen,8,5.3,14903,31-03-2000
The Slaughter Rule,13134,13134,500000,10-Jan-03,R,,,,,,0,6.0,1136,10-01-2003
The Soloist,31720158,38286958,60000000,24-Apr-09,PG-13,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Joe Wright,0,6.7,14257,24-04-2009
The Sorcerer,12000000,12000000,21600000,24-Jun-77,,,,,,William Friedkin,0,6.8,563,24-06-1977
The Sorcerer's Apprentice,62492818,200092818,160000000,14-Jul-10,PG,Walt Disney Pictures,Based on Short Film,Adventure,Fantasy,,42,6.4,9108,14-07-2010
The Sound of Music,163214286,286214286,8200000,"April, 1965",,20th Century Fox,Based on Book/Short Story,Musical,Historical Fiction,Robert Wise,81,6.3,45,01-04-1965
The Specialist,57362581,57362581,45000000,7-Oct-94,R,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,4,4.9,18749,07-10-1994
The Spiderwick Chronicles,71195053,162839667,92500000,14-Feb-08,PG,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Mark Waters,79,6.8,18715,14-02-2008
The Spy Who Loved Me,46800000,185400000,14000000,13-Jul-77,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,,78,7.1,24938,13-07-1977
The Square,406216,406216,1900000,9-Apr-10,R,Apparition,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,0,6.8,1303,09-04-2010
The Squid and the Whale,7372734,11098131,1500000,5-Oct-05,R,IDP/Goldwyn/Roadside,Based on Real Life Events,Drama,Dramatization,Noah Baumbach,93,7.6,23521,05-10-2005
The Statement,765637,1545064,27000000,12-Dec-03,R,Sony Pictures,,Thriller/Suspense,,Norman Jewison,23,6.0,2735,12-12-2003
The Station Agent,5801558,7773824,500000,3-Oct-03,R,Miramax,Original Screenplay,Drama,Contemporary Fiction,,95,7.8,22274,03-10-2003
The Stepfather,29062561,29227561,20000000,16-Oct-09,PG-13,Sony/Screen Gems,Remake,Thriller/Suspense,Contemporary Fiction,,11,5.3,6263,16-10-2009
The Stepford Wives,59475623,96221971,100000000,11-Jun-04,PG-13,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Frank Oz,26,5.1,26712,11-06-2004
The Stewardesses,13500000,25000000,200000,25-Jul-69,,,,,,,0,4.3,86,25-07-1969
The Sting,159616327,159616327,5500000,25-Dec-73,,Universal,Original Screenplay,,Historical Fiction,George Roy Hill,91,8.4,65866,25-12-1973
The Story of Us,27100030,27100030,50000000,15-Oct-99,R,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,28,5.6,10720,15-10-1999
The Straight Story,6197866,6197866,10000000,15-Oct-99,G,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,David Lynch,95,8.0,36265,15-10-1999
The Strangers,52597610,80597610,9000000,30-May-08,R,Focus Features,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,44,6.0,35078,30-05-2008
The Sum of All Fears,118471320,193500000,68000000,31-May-02,PG-13,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phil Alden Robinson,59,6.3,38586,31-05-2002
The Sweet Hereafter,4306697,4306697,5000000,10-Oct-97,R,Fine Line,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,100,7.8,16280,10-10-1997
The Sweetest Thing,24430272,44633441,43000000,12-Apr-02,R,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Roger Kumble,25,4.7,23378,12-04-2002
The Swindle,245359,5045359,10000000,25-Dec-98,,New Yorker,,Comedy,,,0,5.2,1417,25-12-1998
The Taking of Pelham 123,65452312,148989667,110000000,12-Jun-09,R,Sony Pictures,Remake,Action,Contemporary Fiction,Tony Scott,0,6.5,33452,12-06-2009
The Tale of Despereaux,50877145,88717945,60000000,19-Dec-08,G,Universal,Based on Book/Short Story,Adventure,Kids Fiction,Sam Fell,55,6.1,7460,19-12-2008
The Talented Mr. Ripley,81292135,81292135,40000000,25-Dec-99,R,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,82,7.2,63319,25-12-1999
The Ten Commandments,80000000,80000000,13500000,5-Oct-56,,,,,,,90,2.5,1677,05-10-1956
The Terminal,77073959,218673959,75000000,18-Jun-04,PG-13,Dreamworks SKG,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,60,7.1,79803,18-06-2004
The Terminator,38019031,78019031,6400000,26-Oct-84,,Orion Pictures,Original Screenplay,Action,Science Fiction,James Cameron,100,8.1,179606,26-10-1984
The Terrorist,195043,195043,25000,14-Jan-00,Not Rated,Phaedra Cinema,,,,,0,5.5,50,14-01-2000
The Texas Chainsaw Massacre,26572439,26572439,140000,18-Oct-74,R,New Line,,Horror,,Tobe Hooper,90,6.1,39172,18-10-1974
The Texas Chainsaw Massacre 2,8025872,8025872,4700000,22-Aug-86,,Cannon,Remake,Horror,Contemporary Fiction,Tobe Hooper,43,5.1,7702,22-08-1986
The Texas Chainsaw Massacre: The Beginning,39517763,50517763,16000000,6-Oct-06,R,New Line,Remake,Horror,Historical Fiction,,0,5.8,20196,06-10-2006
The Thin Red Line,36400491,36400491,52000000,23-Dec-98,R,20th Century Fox,Based on Book/Short Story,Drama,Dramatization,Terrence Malick,78,7.5,60966,23-12-1998
The Thirteenth Floor,11810854,11810854,16000000,28-May-99,R,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,28,6.7,19939,28-05-1999
The Thomas Crown Affair,69304264,124304264,48000000,6-Aug-99,R,MGM,Remake,Drama,Contemporary Fiction,John McTiernan,67,6.7,37692,06-08-1999
The Tigger Movie,4554533,55159800,20000000,11-Feb-00,G,Walt Disney Pictures,Spin-Off,Adventure,Kids Fiction,,61,6.0,2986,11-02-2000
The Time Machine,56684819,98983590,80000000,8-Mar-02,PG-13,Dreamworks SKG,Based on Book/Short Story,Adventure,Science Fiction,,28,5.6,32465,08-03-2002
The Time Traveler's Wife,63414846,98666635,39000000,14-Aug-09,PG-13,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,,37,7.1,23908,14-08-2009
The Touch,0,5918742,20000000,31-Mar-04,PG-13,Miramax,,,,,0,4.5,1031,31-03-2004
The Town,30980607,33180607,37000000,17-Sep-10,R,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Ben Affleck,84,8.7,493,17-09-2010
The Train,6800000,6800000,5800000,7-Mar-65,,,,,,John Frankenheimer,83,7.8,4692,07-03-1965
The Transporter,25296447,43928932,21000000,11-Oct-02,PG-13,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Corey Yuen,53,6.6,51005,11-10-2002
The Transporter 2,43095856,85095856,32000000,2-Sep-05,PG-13,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Louis Leterrier,0,6.6,51005,02-09-2005
The Trouble With Harry,7000000,7000000,1200000,3-Oct-55,,Paramount Pictures,,,,Alfred Hitchcock,89,7.2,11580,03-10-1955
The Truman Show,125618201,248400000,60000000,5-Jun-98,PG,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,95,8.0,156346,05-06-1998
The Tuxedo,50586000,50586000,60000000,27-Sep-02,PG-13,Dreamworks SKG,Original Screenplay,Action,Science Fiction,,22,5.0,19370,27-09-2002
The Twilight Saga: Eclipse,300155447,688155447,68000000,30-Jun-10,PG-13,Summit Entertainment,Based on Book/Short Story,Drama,Fantasy,David Slade,51,0.0,0,30-06-2010
The Twilight Saga: New Moon,296623634,702623634,50000000,20-Nov-09,PG-13,Summit Entertainment,Based on Book/Short Story,Drama,Fantasy,Chris Weitz,28,0.0,0,20-11-2009
The Ugly Truth,88915214,203115214,38000000,24-Jul-09,R,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Robert Luketic,14,6.4,27888,24-07-2009
The Unborn,42670410,77208315,16000000,9-Jan-09,PG-13,Universal,Original Screenplay,Horror,Fantasy,David Goyer,11,4.5,15331,09-01-2009
The Untouchables,76270454,76270454,25000000,3-Jun-87,,Paramount Pictures,Based on TV,Action,Dramatization,Brian De Palma,81,8.0,86097,03-06-1987
The Upside of Anger,18761993,27361993,12000000,11-Mar-05,R,New Line,Original Screenplay,Drama,Contemporary Fiction,Mike Binder,0,7.0,12317,11-03-2005
The Usual Suspects,23341568,23341568,6000000,16-Aug-95,R,Gramercy,Original Screenplay,Drama,Contemporary Fiction,Bryan Singer,87,8.7,266890,16-08-1995
The Valley of Decision,9132000,9132000,2160000,1945-01-01,,,,,,,0,7.3,682,01-01-1945
The Velocity of Gary,34145,34145,4000000,16-Jul-99,R,Sony Pictures,,,,,0,0.0,0,16-07-1999
The Verdict,53977250,53977250,16000000,8-Dec-82,,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Sidney Lumet,96,7.7,10864,08-12-1982
The Village,114197520,260197520,71682975,30-Jul-04,PG-13,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,42,6.6,88928,30-07-2004
The Virgin Suicides,4859475,4859475,6000000,21-Apr-00,R,Paramount Vantage,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Sofia Coppola,0,7.2,49110,21-04-2000
The Visitor,9427026,16194905,4000000,11-Apr-08,PG-13,Overture Films,Original Screenplay,Comedy,Contemporary Fiction,,90,6.8,318,11-04-2008
The Wackness,2077046,2635650,6000000,3-Jul-08,R,Sony Pictures Classics,Original Screenplay,Comedy,Historical Fiction,,69,7.1,13257,03-07-2008
The War of the Worlds,234280354,591745532,132000000,29-Jun-05,PG-13,Paramount Pictures,Remake,Action,Science Fiction,Steven Spielberg,0,7.2,12074,29-06-2005
The Wash,10097096,10097096,4000000,14-Nov-01,R,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,8,3.6,3095,14-11-2001
The Watcher,28946615,47267829,33000000,8-Sep-00,R,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,10,3.7,959,08-09-2000
The Waterboy,161491646,190191646,23000000,6-Nov-98,PG-13,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Frank Coraci,32,5.7,43251,06-11-1998
The Way of the Gun,6047856,13061935,9000000,8-Sep-00,R,Artisan,Original Screenplay,Action,Contemporary Fiction,,48,6.5,17513,08-09-2000
The Weather Man,12482775,15466961,20000000,28-Oct-05,R,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Gore Verbinski,58,6.9,35394,28-10-2005
The Wedding Crashers,209218368,283218368,40000000,15-Jul-05,R,New Line,Original Screenplay,Comedy,Contemporary Fiction,David Dobkin,0,0.0,0,15-07-2005
The Wedding Date,31726995,47175038,15000000,4-Feb-05,PG-13,Universal,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,,10,5.5,12205,04-02-2005
The Wedding Planner,60400856,94728529,28000000,26-Jan-01,PG-13,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Adam Shankman,16,4.8,18717,26-01-2001
The Wendell Baker Story,127188,127188,8000000,18-May-07,PG-13,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,Luke Wilson,0,5.5,3535,18-05-2007
The White Countess,1669971,2814566,16000000,21-Dec-05,PG-13,Sony Pictures Classics,Original Screenplay,Drama,Historical Fiction,James Ivory,51,6.5,2855,21-12-2005
The Whole Nine Yards,57262492,85262492,24000000,18-Feb-00,R,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,45,6.6,42928,18-02-2000
The Whole Ten Yards,16323969,26323969,30000000,9-Apr-04,PG-13,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,4,5.1,20807,09-04-2004
The Widow of St. Pierre,3058380,3058380,13000000,2-Mar-01,R,Lionsgate,Based on Real Life Events,Drama,Dramatization,,0,0.0,0,02-03-2001
The Wild,37384046,99384046,80000000,14-Apr-06,G,Walt Disney Pictures,Original Screenplay,Adventure,Contemporary Fiction,,19,5.4,8498,14-04-2006
The Wild Bunch,509424,509424,6000000,18-Jun-69,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,97,8.2,31196,18-06-1969
The Wild Thornberrys,40108697,60694737,25000000,20-Dec-02,PG,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,0,6.7,1104,20-12-2002
The Wiz,13000000,13000000,24000000,24-Oct-78,,,,Musical,,Sidney Lumet,37,4.5,4896,24-10-1978
The Wizard of Oz,28202232,28202232,2777000,25-Aug-39,G,Warner Bros.,Based on Book/Short Story,Musical,Fantasy,King Vidor,0,8.3,102795,25-08-2039
The Wolf Man,61979680,142422252,150000000,12-Feb-10,R,Universal,Remake,Horror,Fantasy,Joe Johnston,0,7.4,6099,12-02-2010
The Women,26902075,50042410,16000000,12-Sep-08,PG-13,Picturehouse,Original Screenplay,Comedy,Contemporary Fiction,,13,7.9,5519,12-09-2008
The Wood,25059640,25059640,6000000,16-Jul-99,R,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,61,6.1,3224,16-07-1999
The Work and the Glory,3347647,3347647,7500000,24-Nov-04,PG,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,,17,6.0,531,24-11-2004
The Work and the Glory: American Zion,2025032,2025032,6500000,21-Oct-05,PG-13,Vineyard Distribution,Based on Book/Short Story,Drama,Historical Fiction,,0,5.6,365,21-10-2005
The Work and the Story,16137,16137,103000,3-Oct-03,Not Rated,Off-Hollywood Distribution,,Comedy,,,0,5.1,82,03-10-2003
The World is Not Enough,126930660,361730660,135000000,19-Nov-99,PG-13,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Michael Apted,51,6.3,59406,19-11-1999
The World's Fastest Indian,5128124,16509706,25000000,7-Dec-05,PG-13,Magnolia Pictures,Based on Real Life Events,Drama,Dramatization,Roger Donaldson,82,7.9,19687,07-12-2005
The Wrestler,26236603,43236603,6000000,17-Dec-08,R,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Darren Aronofsky,98,8.2,93301,17-12-2008
The Wrong Man,2000000,2000000,1200000,23-Dec-56,,Warner Bros.,,,,Alfred Hitchcock,89,7.5,7531,23-12-1956
The X Files: Fight the Future,83898313,189176423,66000000,19-Jun-98,PG-13,20th Century Fox,Based on TV,Action,Science Fiction,,0,0.0,0,19-06-1998
The X-Files: I Want to Believe,20982478,68369434,35000000,25-Jul-08,PG-13,20th Century Fox,Based on TV,Action,Science Fiction,,0,5.9,35433,25-07-2008
The Yards,882710,2282710,20000000,20-Oct-00,R,Miramax,,Drama,,James Gray,64,6.3,8784,20-10-2000
The Young Unknowns,58163,58163,800000,11-Apr-03,R,Indican Pictures,,,,,0,4.5,98,11-04-2003
The Young Victoria,11001272,11001272,35000000,18-Dec-09,PG,Apparition,Based on Real Life Events,Drama,Dramatization,,76,7.2,8408,18-12-2009
There Goes My Baby,125169,125169,10500000,2-Sep-94,R,Orion Pictures,Original Screenplay,Comedy,Contemporary Fiction,,0,6.3,507,02-09-1994
